S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
268,2022/07/04,Call settings,12,1,No,Yes,com.samsung.android.app.telephonyui
269,2022/07/04,Telegram,907,22,Yes,No,org.telegram.messenger
270,2022/07/02,Call settings,12,3,No,Yes,com.samsung.android.app.telephonyui
271,2022/07/02,Telegram,62,6,Yes,No,org.telegram.messenger
272,2022/07/03,Call settings,14,1,No,Yes,com.samsung.android.app.telephonyui
273,2022/07/02,Call,4,1,Yes,No,com.samsung.android.incallui
274,2022/07/04,Call,199,8,Yes,No,com.samsung.android.incallui
275,2022/07/02,Wallpaper services,38,3,No,Yes,com.samsung.android.dynamiclock
276,2022/07/02,Samsung Keyboard,3,1,No,Yes,com.samsung.android.honeyboard
277,2022/07/04,Gboard,38,3,Yes,No,com.google.android.inputmethod.latin
278,2022/07/02,Software update,26,1,No,Yes,com.wssyncmldm
279,2022/07/02,Gboard,62,3,Yes,No,com.google.android.inputmethod.latin
280,2022/07/03,Wallpaper services,54,2,No,Yes,com.samsung.android.dynamiclock
281,2022/07/02,Permission controller,79,23,No,Yes,com.google.android.permissioncontroller
282,2022/07/04,Permission controller,5,6,No,Yes,com.google.android.permissioncontroller
283,2022/07/03,Permission controller,6,3,No,Yes,com.google.android.permissioncontroller
284,2022/07/02,Android Setup,82,28,No,Yes,com.google.android.setupwizard
285,2022/07/02,AlwaysOnDisplay,78,10,No,Yes,com.samsung.android.app.aodservice
286,2022/07/02,Apps,59,2,No,Yes,com.samsung.android.app.appsedge
287,2022/07/04,Apps,97,2,No,Yes,com.samsung.android.app.appsedge
288,2022/07/03,AR Emoji,66,2,No,Yes,com.samsung.android.aremoji
289,2022/07/03,Battery Tracker (Uninstalled),21,1,Yes,No,com.android.samsung.batteryusage
290,2022/07/02,Settings,1978,157,Yes,No,com.android.settings
291,2022/07/03,Settings,278,25,Yes,No,com.android.settings
292,2022/07/04,Settings,68,15,Yes,No,com.android.settings
293,2022/07/04,One UI Home,1154,160,No,Yes,com.sec.android.app.launcher
294,2022/07/02,Adapt sound,39,3,No,Yes,com.sec.hearingadjust
295,2022/07/03,One UI Home,611,101,No,Yes,com.sec.android.app.launcher
296,2022/07/02,YouTube,23,3,No,Yes,com.google.android.youtube
297,2022/07/02,Bixby Routines,2,1,No,Yes,com.samsung.android.app.routines
298,2022/07/02,Settings Suggestions,220,32,No,Yes,com.android.settings.intelligence
299,2022/07/03,Google Play services,7,2,No,Yes,com.google.android.gms
300,2022/07/04,Google Play services,14,6,No,Yes,com.google.android.gms
301,2022/07/02,Samsung Pass,7,1,Yes,No,com.samsung.android.samsungpass
302,2022/07/02,Clock,74,2,Yes,No,com.sec.android.app.clockpackage
303,2022/07/04,Notion,31,4,Yes,No,notion.id
304,2022/07/02,One UI Home,1838,199,No,Yes,com.sec.android.app.launcher
305,2022/07/02,SecSoundPicker,79,3,No,Yes,com.samsung.android.secsoundpicker
306,2022/07/02,Separate app sound,26,1,No,Yes,com.samsung.android.setting.multisound
307,2022/07/04,The Hindu,137,4,Yes,No,com.mobstac.thehindu
308,2022/07/04,Clock,17,2,Yes,No,com.sec.android.app.clockpackage
309,2022/07/02,com.samsung.android.biometrics.app.setting,72,2,No,Yes,com.samsung.android.biometrics.app.setting
310,2022/07/04,WhatsApp,634,14,Yes,No,com.whatsapp
311,2022/07/03,WhatsApp,7052,31,Yes,No,com.whatsapp
312,2022/07/04,Settings Suggestions,18,6,No,Yes,com.android.settings.intelligence
313,2022/07/02,WhatsApp,455,19,Yes,No,com.whatsapp
314,2022/07/03,Settings Suggestions,30,6,No,Yes,com.android.settings.intelligence
315,2022/07/03,com.samsung.android.biometrics.app.setting,85,2,No,Yes,com.samsung.android.biometrics.app.setting
316,2022/07/02,Xodo Docs,1802,19,Yes,No,com.xodo.pdf.reader
317,2022/07/02,Vanced Manager,182,4,Yes,No,com.vanced.manager
318,2022/07/04,PrepLadder,21804,40,Yes,No,com.prepladder.learningapp
319,2022/07/02,PrepLadder,1328,13,Yes,No,com.prepladder.learningapp
